"","x"
"1","MMM"
"2","ABT"
"3","ABBV"
"4","ABMD"
"5","ACN"
"6","ATVI"
"7","ADBE"
"8","AMD"
"9","AAP"
"10","AES"
"11","AFL"
"12","A"
"13","APD"
"14","AKAM"
"15","ALK"
"16","ALB"
"17","ARE"
"18","ALXN"
"19","ALGN"
"20","ALLE"
"21","ADS"
"22","LNT"
"23","ALL"
"24","GOOGL"
"25","GOOG"
"26","MO"
"27","AMZN"
"28","AMCR"
"29","AEE"
"30","AAL"
"31","AEP"
"32","AXP"
"33","AIG"
"34","AMT"
"35","AWK"
"36","AMP"
"37","ABC"
"38","AME"
"39","AMGN"
"40","APH"
"41","ADI"
"42","ANSS"
"43","ANTM"
"44","AON"
"45","AOS"
"46","APA"
"47","AIV"
"48","AAPL"
"49","AMAT"
"50","APTV"
"51","ADM"
"52","ANET"
"53","AJG"
"54","AIZ"
"55","T"
"56","ATO"
"57","ADSK"
"58","ADP"
"59","AZO"
"60","AVB"
"61","AVY"
"62","BKR"
"63","BLL"
"64","BAC"
"65","BK"
"66","BAX"
"67","BDX"
"68","BRK.B"
"69","BBY"
"70","BIIB"
"71","BLK"
"72","BA"
"73","BKNG"
"74","BWA"
"75","BXP"
"76","BSX"
"77","BMY"
"78","AVGO"
"79","BR"
"80","BF.B"
"81","CHRW"
"82","COG"
"83","CDNS"
"84","CPB"
"85","COF"
"86","CAH"
"87","KMX"
"88","CCL"
"89","CARR"
"90","CAT"
"91","CBOE"
"92","CBRE"
"93","CDW"
"94","CE"
"95","CNC"
"96","CNP"
"97","CTL"
"98","CERN"
"99","CF"
"100","SCHW"
"101","CHTR"
"102","CVX"
"103","CMG"
"104","CB"
"105","CHD"
"106","CI"
"107","CINF"
"108","CTAS"
"109","CSCO"
"110","C"
"111","CFG"
"112","CTXS"
"113","CLX"
"114","CME"
"115","CMS"
"116","KO"
"117","CTSH"
"118","CL"
"119","CMCSA"
"120","CMA"
"121","CAG"
"122","CXO"
"123","COP"
"124","ED"
"125","STZ"
"126","COO"
"127","CPRT"
"128","GLW"
"129","CTVA"
"130","COST"
"131","COTY"
"132","CCI"
"133","CSX"
"134","CMI"
"135","CVS"
"136","DHI"
"137","DHR"
"138","DRI"
"139","DVA"
"140","DE"
"141","DAL"
"142","XRAY"
"143","DVN"
"144","DXCM"
"145","FANG"
"146","DLR"
"147","DFS"
"148","DISCA"
"149","DISCK"
"150","DISH"
"151","DG"
"152","DLTR"
"153","D"
"154","DPZ"
"155","DOV"
"156","DOW"
"157","DTE"
"158","DUK"
"159","DRE"
"160","DD"
"161","DXC"
"162","ETFC"
"163","EMN"
"164","ETN"
"165","EBAY"
"166","ECL"
"167","EIX"
"168","EW"
"169","EA"
"170","EMR"
"171","ETR"
"172","EOG"
"173","EFX"
"174","EQIX"
"175","EQR"
"176","ESS"
"177","EL"
"178","EVRG"
"179","ES"
"180","RE"
"181","EXC"
"182","EXPE"
"183","EXPD"
"184","EXR"
"185","XOM"
"186","FFIV"
"187","FB"
"188","FAST"
"189","FRT"
"190","FDX"
"191","FIS"
"192","FITB"
"193","FE"
"194","FRC"
"195","FISV"
"196","FLT"
"197","FLIR"
"198","FLS"
"199","FMC"
"200","F"
"201","FTNT"
"202","FTV"
"203","FBHS"
"204","FOXA"
"205","FOX"
"206","BEN"
"207","FCX"
"208","GPS"
"209","GRMN"
"210","IT"
"211","GD"
"212","GE"
"213","GIS"
"214","GM"
"215","GPC"
"216","GILD"
"217","GL"
"218","GPN"
"219","GS"
"220","GWW"
"221","HRB"
"222","HAL"
"223","HBI"
"224","HOG"
"225","HIG"
"226","HAS"
"227","HCA"
"228","PEAK"
"229","HSIC"
"230","HSY"
"231","HES"
"232","HPE"
"233","HLT"
"234","HFC"
"235","HOLX"
"236","HD"
"237","HON"
"238","HRL"
"239","HST"
"240","HWM"
"241","HPQ"
"242","HUM"
"243","HBAN"
"244","HII"
"245","IEX"
"246","IDXX"
"247","INFO"
"248","ITW"
"249","ILMN"
"250","INCY"
"251","IR"
"252","INTC"
"253","ICE"
"254","IBM"
"255","IP"
"256","IPG"
"257","IFF"
"258","INTU"
"259","ISRG"
"260","IVZ"
"261","IPGP"
"262","IQV"
"263","IRM"
"264","JKHY"
"265","J"
"266","JBHT"
"267","SJM"
"268","JNJ"
"269","JCI"
